domain,importance_r2_drop_mean,importance_r2_drop_std
train_the_pile_ubuntu_irc,0.13092134928685992,0.020627180245354954
train_the_pile_dm_mathematics,0.07629768241325965,0.012952059641290432
train_the_pile_philpapers,0.045339264452437626,0.009643469329433585
train_the_pile_hackernews,0.0398781013506734,0.008369408302813394
train_the_pile_freelaw,0.03161246455686372,0.009578807655853474
train_the_pile_github,0.02629415516797997,0.006682484718934005
train_the_pile_stackexchange,0.020549826110162983,0.00845573295286756
train_the_pile_europarl,0.013792808547413287,0.005416109896168274
train_the_pile_nih_exporter,0.013353194331734323,0.005763931277774723
train_the_pile_gutenberg_pg_19,0.013194719296966822,0.005899765357495024
train_the_pile_pubmed_abstracts,0.012700427654546664,0.006211206028587575
train_the_pile_arxiv,0.011332120778642691,0.005316965308302321
train_the_pile_enron_emails,0.010009351777489328,0.005340015436142643
train_the_pile_pubmed_central,0.0035274155657371575,0.003095309866607721
train_the_pile_wikipedia_en,0.001510937819800525,0.0019500246961703497
train_the_pile_uspto_backgrounds,0.0006388935750356372,0.0013005870835955374
train_the_pile_pile_cc,-3.306336188347488e-05,0.00017927895004611177
