C_FLOPs,g_type,Lctx,Q0,delta,recipe,N,D,Q,L_total,L_classic,L_quality,L_recipe,s_train,s_attn,s_quality,regime_Q,beyond_B1
1e+19,exp,2048,0.5,-0.2285239529866762,empirical_best,198570196.63798484,6358770702.392977,0.6522472724014469,3.0242260801235,3.0421601753553373,0.1412906999797849,-0.15922479521162228,0.7575974092500182,0.051718649804801245,0.19068394094518057,interior,False
1e+19,exp,4096,0.5,-0.2285239529866762,empirical_best,194120103.8789505,6096433073.672703,0.6577100193686909,3.034932066891676,3.0556707082334555,0.1393130198666993,-0.160051661208479,0.7100641329314489,0.0969474229495738,0.19298844411897734,interior,False
1e+19,exp,8192,0.5,-0.2285239529866762,empirical_best,186068643.84854305,5652373469.253561,0.6675117551232451,3.0547716900512025,3.0806339172249304,0.13574635311144223,-0.16160858028517025,0.6310376795696968,0.1723153557011652,0.19664696472913812,interior,False
1e+19,exp,32768,0.5,-0.2285239529866762,empirical_best,153025873.02124795,4132146674.3247466,0.7080538217575015,3.145473578232693,3.193722489809523,0.12074381049031341,-0.16899272206714352,0.3793952113742344,0.41440074287703044,0.20620404574873513,interior,False
1e+19,exp,131072,0.5,-0.2285239529866762,empirical_best,102783312.98327833,2393237387.4433956,0.7785231193437695,3.3371245291709437,3.4285223625204084,0.09368519486030653,-0.18508302820977113,0.1475909204621267,0.6448345708937292,0.20757450864414412,interior,False
1e+19,pow,2048,0.5,-0.2285239529866762,empirical_best,152692281.900094,10217672700.57741,0.5,3.0377243245456733,3.0075874932506217,0.1992138541144762,-0.16907702281942483,0.9360958562156763,0.0639041437843235,0.0,floor,False
1e+19,pow,4096,0.5,-0.2285239529866762,empirical_best,148712263.80503678,9860973396.716,0.5,3.049509986923114,3.020104617648304,0.19950596336325988,-0.1701005940884495,0.8798686062881276,0.12013139371187236,0.0,floor,False
1e+19,pow,8192,0.5,-0.2285239529866762,empirical_best,141687399.06692323,9239880927.259508,0.5,3.071389035748727,3.0433392218874067,0.20004187002650572,-0.1719920561651852,0.7855048177628823,0.21449518223711778,0.0,floor,False
1e+19,pow,32768,0.5,-0.2285239529866762,empirical_best,124169326.71990883,6007946640.173601,0.5377754131736441,3.1711137536770164,3.1601318843291892,0.1882402075587267,-0.1772583382108993,0.4476016135676966,0.4889003224462095,0.06349806398609394,interior,False
1e+19,pow,131072,0.5,-0.2285239529866762,empirical_best,97440107.199828,2620036060.556116,0.6671070811213868,3.371198712710359,3.418263867046033,0.14028967501176964,-0.18735482934744363,0.15317795676480178,0.6692447049692034,0.1775773382659949,interior,False
1e+19,log,2048,0.5,-0.2285239529866762,empirical_best,287847480.7180049,3270903966.668231,1.0,2.974288087468547,3.12056021719023,0.0,-0.146272129721683,0.5649128798855876,0.03856471926685612,0.39652240084755636,ceiling,False
1e+19,log,4096,0.5,-0.2285239529866762,empirical_best,277224979.76483506,3222974196.339983,1.0,2.9836659995681045,3.131200434435959,0.0,-0.14753443486785447,0.5360933738177623,0.07319461530525183,0.3907120108769857,ceiling,False
1e+19,log,8192,0.5,-0.2285239529866762,empirical_best,258847513.5433881,3135334400.61394,1.0,3.0011767830124505,3.1510419672366847,0.0,-0.14986518422423428,0.48694410823558043,0.1329682044888625,0.380087687275557,ceiling,False
1e+19,log,32768,0.5,-0.2285239529866762,empirical_best,192507938.64394245,2755626167.2700324,1.0,3.0831817173211395,3.243538698024844,0.0,-0.16035698070370444,0.318287947880677,0.3476553158718008,0.33405673624752213,ceiling,False
1e+19,log,131072,0.5,-0.2285239529866762,empirical_best,112009719.8945327,2074431632.700156,1.0,3.2646034577084233,3.4460860980800656,0.0,-0.18148264037164222,0.13941390367146156,0.6091086394008604,0.25147745692767826,ceiling,False
1e+20,exp,2048,0.5,-0.2285239529866762,empirical_best,728595254.5140316,13636227600.067936,0.9429132360190727,2.5851541069739223,2.68098032632591,0.022475869104670247,-0.1183020884566578,0.5961174431329657,0.04069495078454379,0.3631876060824905,interior,False
1e+20,exp,4096,0.5,-0.2285239529866762,empirical_best,707575112.7925749,13235384924.925854,0.9467672553868905,2.591817354883804,2.6899292429939816,0.020984287810659173,-0.11909617592083671,0.5619017388664533,0.07671831741323311,0.36137994372031357,interior,False
1e+20,exp,8192,0.5,-0.2285239529866762,empirical_best,670608601.277383,12532233930.530111,0.9538165396199759,2.604208125803867,2.706527174793031,0.018246494656989666,-0.12056554364615338,0.5042534320220255,0.1376948038374811,0.3580517641404934,interior,False
