Q0,g,C,N,D,Q,L_total,L_classic,L_quality,L_recipe,s_quality,s_train,s_attn,regime_Q
0.3,exp,1e+19,207655050.2734226,4611748834.731059,0.6938537401175172,3.070866188376914,3.1024268047361088,0.12604469050940495,-0.15760530686859975,0.26850638127068016,0.5745917616746857,0.1569018570546342,interior
0.3,exp,1.3335214321633241e+19,240975718.39302146,5201687707.214478,0.7268557743662737,3.005402749265681,3.0458377874144325,0.11190047303820046,-0.1523355111869517,0.28200742023046355,0.5639866305269714,0.154005949242565,interior
0.3,exp,1.7782794100389229e+19,279632484.3324979,5867976194.634169,0.7598601934447579,2.94223011253678,2.991581654925148,0.09789165189867738,-0.14724319428704546,0.29517976855435657,0.5536396874573027,0.1511805439883408,interior
0.3,exp,2.3713737056616554e+19,324532229.24059844,6618603770.499908,0.7929075664616552,2.8812762973349444,2.939591134579067,0.08400208332435462,-0.14231692056847722,0.3081266337625708,0.5434698624613237,0.14840350377610545,interior
0.3,exp,3.162277660168379e+19,376744682.4831314,7462155149.376858,0.8260326352356626,2.82246727300257,2.8897966173550467,0.07021750010442762,-0.1375468444569045,0.32093115959037943,0.5334118457344108,0.14565699467520976,interior
0.3,exp,4.216965034285823e+19,437533819.4458035,8407754422.968549,0.8592672784663035,2.7657279934887544,2.84212797524044,0.056524411894875046,-0.1329243936465609,0.33366282509790235,0.523411061140106,0.14292611376199163,interior
0.3,exp,5.6234132519034905e+19,508396288.89964956,9465027393.981485,0.8926398302793797,2.710983187734012,2.796514743140813,0.042910439249859975,-0.12844199465666128,0.3463780259288324,0.5134232096285879,0.14019876444257975,interior
0.3,exp,7.498942093324558e+19,591105846.3736889,10644035155.92799,0.9261765922388094,2.6581579628232253,2.752887189571009,0.029363750571842352,-0.12409297731962626,0.3591240821761867,0.5034111210388144,0.1374647967849989,interior
0.3,exp,1e+20,687771151.7164112,11955160994.419867,0.9599017792079246,2.607178262099857,2.711176437452124,0.01587311928730145,-0.11987129463956794,0.3719390643964701,0.4933448907652361,0.1347160448382938,interior
0.3,exp,1.333521432163324e+20,800900373.6149338,13409009130.90878,0.9938384048347191,2.557971210069306,2.6713151768540393,0.002427588898120868,-0.11577155568285406,0.3848548841988639,0.48319945208509846,0.13194566371603758,interior
0.3,exp,1.778279410038923e+20,884468604.7108427,16573405441.2498,1.0,2.510941701132339,2.6241169842879315,0.0,-0.11317528315559212,0.3703538186319573,0.4945901089505991,0.1350560724174436,ceiling
0.3,exp,2.3713737056616553e+20,966495299.7864338,20881626462.289562,1.0,2.466851540487662,2.577756114609857,0.0,-0.11090457412219505,0.34992050689673027,0.5106405737614709,0.13943891934179897,ceiling
0.3,exp,3.1622776601683794e+20,1057625341.8183684,26237836250.24712,1.0,2.4255068996323557,2.5341511720426038,0.0,-0.10864427241024813,0.3297107364759042,0.5265154457929115,0.14377381773118436,ceiling
0.3,exp,4.216965034285823e+20,1159016882.5561674,32876138095.469276,1.0,2.3867068151801876,2.4931018106008684,0.0,-0.1063949954206811,0.30980317775623467,0.5421529290771092,0.14804389316665598,ceiling
0.3,exp,5.6234132519034906e+20,1271983497.011125,41077664670.5112,1.0,2.350266048380418,2.4544235912014374,0.0,-0.10415754282101951,0.2902757911679379,0.5574917853205347,0.15223242351152735,ceiling
0.3,exp,7.498942093324558e+20,1398017485.848557,51178905054.9723,1.0,2.3160139018631427,2.4179467433115667,0.0,-0.10193284144842389,0.27120398227256,0.5724727830913072,0.15632323463613293,ceiling
0.3,exp,1e+21,1538811199.1432254,63581493693.555916,1.0,2.283793124205252,2.383515108706122,0.0,-0.09972198450086976,0.252659596671504,0.5870394873233892,0.16030091600510682,ceiling
0.3,exp,1.333521432163324e+21,1696285863.5541458,78763507820.6193,1.0,2.253458894492648,2.35098507535431,0.0,-0.09752618086166191,0.2347092046745553,0.6011396067177246,0.16415118860772002,ceiling
0.3,exp,1.7782794100389228e+21,1872614798.459864,97292976182.33151,1.0,2.2248778797055198,2.3202247075841926,0.0,-0.09534682787867306,0.21741352664620095,0.6147254451354727,0.16786102821832638,ceiling
0.3,exp,2.3713737056616553e+21,2070266987.1405842,119843103952.06465,1.0,2.197927358415599,2.291112711189773,0.0,-0.09318535277417402,0.20082515966232825,0.6277556873201234,0.17141915301754837,ceiling
0.3,exp,3.1622776601683794e+21,2292032550.4200006,147211043781.26385,1.0,2.1724944049564456,2.263537742308507,0.0,-0.09104333735206117,0.1849888123379455,0.6401952144391925,0.17481597322286216,ceiling
0.3,exp,4.2169650342858226e+21,2541070542.6544394,180339307114.00235,1.0,2.1484751289065014,2.2373975387358387,0.0,-0.08892240982933712,0.169939943237965,0.65201617361911,0.178043883142925,ceiling
0.3,exp,5.623413251903491e+21,2820952722.570123,220341469695.1141,1.0,2.125773965395836,2.2125982104169037,0.0,-0.08682424502106781,0.15570455369331368,0.663198140689165,0.18109730561752133,ceiling
0.3,exp,7.498942093324559e+21,3135717354.6211085,268532362792.87885,1.0,2.104303012396825,2.1890535327526317,0.0,-0.08475052035580655,0.14229895321180386,0.6737283044523953,0.18397274233580077,ceiling
0.3,exp,1e+22,3489922714.4874864,326464337344.7256,1.0,2.083981411765871,2.166684329473135,0.0,-0.08270291770726422,0.12973011958274913,0.683601183821678,0.18666869659557286,ceiling
