quality_domain,loss_domain,Q_v3,Q_v3_noHuber,Q_v1_equal,mean_val_loss
arxiv,arxiv,0.7943358541010387,0.7943358541010387,0.732339777758272,5.04406272014603
github,github,0.43359668934453993,0.43359626633999987,0.4057542235658097,5.27951684454456
stackexchange,stackexchange,0.5830770481300495,0.5830770481300495,0.5425377047100388,5.245853285305202
wikipedia,wikipedia_en,0.42268373286460137,0.42268373286460137,0.4388819929339657,5.810897937975824
book,gutenberg_pg_19,0.5835404409807426,0.5835404409807426,0.5810777288878799,5.445764048025012
commoncrawl,pile_cc,0.547924232026867,0.547924232026867,0.56614352291804,5.727793703787029
