dim,n,raw_metric,identity_mae,fit_slope,fit_intercept,fit_r2,fit_mae
IFEval,1854,raw_ifeval,0.3072867274915927,0.9914161505193282,0.5169273880308729,0.9822240198879476,0.48452918816908425
BBH,1856,raw_bbh_accnorm,21.053520813518993,1.321841004744805,-36.33781882171281,0.9955784809031363,0.6247182900707136
MATH Lvl 5,1855,raw_math,3.490199591208541,0.9281225312792294,4.267845085238555,0.6457199139103641,4.480730015895215
GPQA,1852,raw_gpqa,23.378251820391277,1.2848459964463315,-31.868266726746036,0.9744887674899492,0.25685507336666724
MUSR,1852,raw_musr,30.726620553391445,1.235174533997677,-40.122941296630835,0.947856099266502,0.9981479141803925
MMLU-PRO,1854,raw_mmlu_pro,7.562285999570285,1.1069596196010494,-10.962126146931375,0.9964877774011338,0.11396878001483327
