indicator,method,n_detected,detect_rate,mean_shift,sd_ratio,skew_before,skew_after,kurt_before,kurt_after
fineweb_edu,none,0.0,0.0,0.0,1.0,0.8148232640140228,0.8148232640140228,1.86647529145801,1.86647529145801
fluency_en,none,0.0,0.0,0.0,1.0,-0.6783846636276121,-0.6783846636276121,-0.42871893149536744,-0.42871893149536744
modernbert_cleanliness,none,0.0,0.0,0.0,1.0,-0.040929029260099385,-0.040929029260099385,0.38051428257189146,0.38051428257189146
modernbert_readability,none,0.0,0.0,0.0,1.0,0.07291557776538735,0.07291557776538735,-0.3351671800651168,-0.3351671800651168
modernbert_reasoning,none,0.0,0.0,0.0,1.0,-0.04357133599198066,-0.04357133599198066,0.009052454423913225,0.009052454423913225
modernbert_professionalism,none,0.0,0.0,0.0,1.0,0.2705318494284833,0.2705318494284833,0.3873186125478325,0.3873186125478325
qurater,none,0.0,0.0,0.0,1.0,1.0152024251119556,1.0152024251119556,1.5274698081798839,1.5274698081798839
ad_en,none,0.0,0.0,0.0,1.0,-0.4955409944440673,-0.4955409944440673,-0.2878945327585569,-0.2878945327585569
dsir_books,none,0.0,0.0,0.0,1.0,-18.513635091357756,-18.513635091357756,770.2315391793946,770.2315391793946
dsir_wiki,none,0.0,0.0,0.0,1.0,-18.76687608395971,-18.76687608395971,784.261934092656,784.261934092656
dsir_math,none,0.0,0.0,0.0,1.0,-23.60966821106612,-23.60966821106612,1158.3081266914617,1158.3081266914617
rps_doc_word_count,none,0.0,0.0,0.0,1.0,35.45608029252049,35.45608029252049,3047.6954892540566,3047.6954892540566
rps_doc_num_sentences,none,0.0,0.0,0.0,1.0,26.416807847900245,26.416807847900245,1274.3994957596767,1274.3994957596767
rps_doc_unigram_entropy,none,0.0,0.0,0.0,1.0,-0.2037467252735243,-0.2037467252735243,-0.05371127708367984,-0.05371127708367984
rps_doc_frac_unique_words,none,0.0,0.0,0.0,1.0,0.0671046488881996,0.0671046488881996,-0.5546752670966653,-0.5546752670966653
rps_doc_frac_no_alph_words,none,0.0,0.0,0.0,1.0,1.398841120333259,1.398841120333259,6.4574546706456974,6.4574546706456974
rps_doc_frac_chars_top_2gram,none,0.0,0.0,0.0,1.0,4.260907920685415,4.260907920685415,45.360035680150794,45.360035680150794
rps_doc_frac_chars_top_3gram,none,0.0,0.0,0.0,1.0,5.971501512928552,5.971501512928552,129.02202125400981,129.02202125400981
rps_lines_uppercase_letter_fraction,none,0.0,0.0,0.0,1.0,0.67736483980899,0.67736483980899,0.5373501506503384,0.5373501506503384
rps_lines_ending_with_terminal_punctution_mark,none,0.0,0.0,0.0,1.0,1.5553976528287838,1.5553976528287838,2.3881323409081663,2.3881323409081663
rps_lines_numerical_chars_fraction,none,0.0,0.0,0.0,1.0,5.206783809043808,5.206783809043808,52.618990854918444,52.618990854918444
rps_doc_mean_word_length,none,0.0,0.0,0.0,1.0,2.340537997977511,2.340537997977511,15.043738891869243,15.043738891869243
fineweb_edu,iqr,14176.0,0.05202106383369112,-0.017044395515207755,0.9055946325159308,0.8148232640140228,0.29548218308467983,1.86647529145801,0.09811762188348494
fluency_en,iqr,226.0,0.0008293425808700757,2.6450359533275458e-05,0.9994328604516353,-0.6783846636276121,-0.6752220149733237,-0.42871893149536744,-0.44404581909337404
modernbert_cleanliness,iqr,7711.0,0.02829672850039449,0.002123717614923637,0.9763132234018019,-0.040929029260099385,0.038800286242963326,0.38051428257189146,0.002722952848194904
modernbert_readability,iqr,471.0,0.0017284086530522376,3.306458973550974e-05,0.9987110404465462,0.07291557776538735,0.0765180185669185,-0.3351671800651168,-0.3733149735424828
modernbert_reasoning,iqr,1638.0,0.006011185649486958,-0.0003442430165599142,0.9952221159493574,-0.04357133599198066,-0.07800282575520708,0.009052454423913225,-0.10550068243491495
modernbert_professionalism,iqr,3721.0,0.013655095982003604,-0.0004885392798915644,0.9830637285072042,0.2705318494284833,0.1974970216865391,0.3873186125478325,-0.03161598522165043
qurater,iqr,20150.0,0.07394359736518596,-0.09386620566833173,0.8719948983871639,1.0152024251119556,0.46053255758603534,1.5274698081798839,0.1016317241762712
ad_en,iqr,854.0,0.0031338874516063926,0.00013652392123675305,0.9972115106979884,-0.4955409944440673,-0.4755143359304696,-0.2878945327585569,-0.37132653824427564
