subset,n,slope_per_log10N,intercept,r2,se
all,4573,13.517457452219483,10.759227391305647,0.39225160813657256,0.24886793453300565
open,2328,13.37867929922263,10.711992722378078,0.41734744781974736,0.32776632650596405
open_pretrained,232,6.46260535135775,8.850163212066315,0.4649917035150294,0.45708963591669016
open_chat,2096,14.518328865756494,10.208976109004078,0.398455375368033,0.38982740883081457
