Model,eval_file_date,raw_ifeval,raw_bbh_accnorm,raw_bbh_acc,raw_math,raw_gpqa,raw_musr,raw_mmlu_pro
JayHyeon/Qwen2.5-0.5B-SFT-2e-4-5ep,results_,18.971994308434954,29.057455302898806,,0.3776435045317221,26.929530201342285,38.62433862433862,13.364361702127658
JayHyeon/Qwen2.5-0.5B-SFT-2e-5,results_,20.67558522498083,31.69588613088006,,3.7009063444108756,26.929530201342285,34.78835978835979,16.78025265957447
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep,results_,22.014477142869808,31.90418330151015,,0.3021148036253776,27.768456375838923,33.5978835978836,17.096077127659576
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-1ep_0alp_0lam,results_,25.41667220752049,31.45287276514494,,4.078549848942599,27.181208053691275,32.804232804232804,15.799534574468085
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-2ep_0alp_0lam,results_,24.50741809509878,31.34872417982989,,4.078549848942599,27.432885906040266,32.93650793650794,15.608377659574469
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,results_,25.574032456105357,31.175143204304806,,4.003021148036254,27.432885906040266,33.06878306878307,15.74966755319149
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-7-2ep_0alp_0lam,results_,26.053648763059794,31.55702135045999,,3.625377643504532,27.01342281879195,33.33333333333333,15.766289893617023
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-7-3ep_0alp_0lam,results_,25.781371206177383,31.609095643117513,,3.5498489425981874,26.34228187919463,32.804232804232804,15.83277925531915
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_2e-6-1ep_0alp_0lam,results_,23.353369060758787,31.678528033327545,,0.22658610271903326,27.516778523489936,32.67195767195767,15.80784574468085
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_2e-6-2ep_0alp_0lam,results_,24.719743613611882,31.990973789272697,,5.0604229607250755,27.600671140939596,32.53968253968254,15.375664893617023
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_2e-6-3ep_0alp_0lam,results_,24.74223948013493,32.02568998437771,,4.1540785498489425,27.265100671140942,32.67195767195767,15.392287234042554
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-1ep_0alp_0lam,results_,24.027801788144345,32.23398715500781,,0.0755287009063444,28.187919463087248,32.53968253968254,15.733045212765958
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,results_,23.680611887569427,32.02568998437771,,4.607250755287009,27.432885906040266,33.46560846560847,15.159574468085108
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-3ep_0alp_0lam,results_,23.718068059415685,32.26870335011283,,0.0755287009063444,27.01342281879195,33.86243386243386,15.50033244680851
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-7-3ep_0alp_0lam,results_,24.99202117049429,31.609095643117513,,0.0755287009063444,26.51006711409396,32.804232804232804,15.741356382978724
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-6-1ep_0alp_0lam,results_,23.810489501190176,32.28606144766534,,0.3021148036253776,27.432885906040266,33.2010582010582,15.724734042553193
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-6-2ep_0alp_0lam,results_,24.20765790325226,32.077764277035236,,0.0755287009063444,28.02013422818792,33.99470899470899,14.960106382978724
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-6-3ep_0alp_0lam,results_,23.805502732749105,32.49435861829543,,4.45619335347432,27.600671140939596,33.99470899470899,14.985039893617023
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,results_,25.264298727376694,31.591737545565007,,0.0755287009063444,27.348993288590606,33.33333333333333,15.724734042553193
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_2ep_0alp_0lam,results_,24.572356901909153,31.418156570039923,,0.0,27.265100671140942,32.93650793650794,15.716422872340424
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_3ep_0alp_0lam,results_,24.41998342176536,31.782676618642597,,4.833836858006042,27.348993288590606,33.06878306878307,15.66655585106383
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_1ep_0alp_0lam,results_,26.036139664977814,31.609095643117513,,0.0,27.600671140939596,32.804232804232804,15.674867021276595
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_2ep_0alp_0lam,results_,24.899599728719796,31.470230862697445,,0.0755287009063444,27.097315436241608,32.93650793650794,15.691489361702127
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_3ep_0alp_0lam,results_,26.036139664977814,31.227217496962332,,0.0755287009063444,27.432885906040266,33.33333333333333,15.658244680851062
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_3e-7-3ep_0alp_5lam,results_,24.10526292459563,31.50494705780246,,3.474320241691843,27.097315436241608,32.93650793650794,15.625
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,results_,23.685598656010498,32.56379100850547,,0.22658610271903326,27.600671140939596,33.46560846560847,15.699800531914892
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-2ep_0alp_5lam,results_,22.62397106344499,32.49435861829543,,0.0,27.936241610738254,33.99470899470899,15.408909574468085
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,results_,25.079455843827713,31.83475091130012,,4.078549848942599,27.600671140939596,33.46560846560847,15.550199468085108
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-1ep_0alp_5lam,results_,23.8979241745236,31.661169935775042,,4.003021148036254,26.76174496644295,33.2010582010582,15.600066489361703
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-2ep_0alp_5lam,results_,24.23015376977531,31.314007984724874,,0.0,26.76174496644295,33.2010582010582,15.475398936170212
