scope,quality_domain,n_docs,conflict_rate,G1_model_mean,G3_harm_mean
A1,arxiv,1419,0.4284707540521494,0.7777669347699457,0.016731671360251072
A1,book,171,0.0,0.519123060594994,0.11464500791293408
A1,c4,10000,0.0515,0.6569386848938699,0.3313882363556649
A1,commoncrawl,9640,0.07769709543568465,0.7006235103173633,0.17064261649860074
A1,github,10000,0.0088,0.5941636357017319,0.03971641898857653
A1,stackexchange,10000,0.2901,0.7689399166328789,0.01666372656146125
A1,wikipedia,10000,0.0262,0.6412772292909784,0.03755208158158762
A2,arxiv,17523,0.3982194829652457,0.7727361017126461,0.018355319837131703
A3,github,203752,0.009644077113353489,0.5940646869692683,0.03815731164805288
