quality_domain,estimate_scope,used_downstream,n_docs,q_all22_mean,q_all22_sd,q_all22_se,q_core16_mean,q_core16_sd,q_core16_se
arxiv,A1_sample,False,1419.0,-0.08786454083218112,0.2458549700887022,0.006526611990259574,0.0539474527680377,0.18056615909453697,0.0047934164542467305
arxiv,A2_full,True,17523.0,-0.08951029628334406,0.25060005211022623,0.001893114694329242,0.05515453923804183,0.18353605740458473,0.0013864913605805913
book,A1_sample,True,171.0,-0.0022269033365941915,0.22473197555686594,0.017185683698853184,0.11204972487649668,0.16584393239073733,0.012682402485800277
c4,A1_sample,False,10000.0,0.2280067966858971,0.17407858096506487,0.0017407858096506487,0.3488448994771087,0.23767067599048508,0.002376706759904851
commoncrawl,A1_sample,True,9640.0,0.103005600514998,0.1947770420863979,0.001983806227882375,0.16614519022744656,0.25135262637250055,0.002560029150515476
github,A1_sample,False,10000.0,0.00793013931894021,0.2032610176729254,0.002032610176729254,-0.010805971397066516,0.24873673229381937,0.002487367322938194
github,A3_full,True,203752.0,0.0043089559306660995,0.20592570534066468,0.00045620456005256675,-0.015502034901746635,0.2521566340640604,0.0005586238304597638
stackexchange,A1_sample,True,10000.0,-0.18721679648396397,0.18247399627150948,0.0018247399627150948,-0.22385658227763908,0.24578384353896732,0.002457838435389673
wikipedia,A1_sample,True,10000.0,-0.06645842672739193,0.19551912302153243,0.0019551912302153245,-0.06470774060158603,0.26587979902491765,0.0026587979902491766
