lambda,reverse13,domain6_record,rank_consistency_vs_lam0
0.0,-0.8351648351648352,-0.8285714285714287,1.0
0.1,-0.8351648351648352,-0.8285714285714287,1.0
0.25,-0.8021978021978022,-0.8285714285714287,1.0
0.5,-0.7857142857142857,-0.8285714285714287,1.0
1.0,-0.576923076923077,-0.7714285714285715,0.942857142857143
