indicator,entropy_weight,critic_weight
fineweb_edu,0.015446971765881286,0.03653712964380092
fluency_en,0.02407210961703995,0.06468677830537287
modernbert_cleanliness,0.05064509625831604,0.06069356713042132
modernbert_readability,0.0200373564217962,0.05349406861795461
modernbert_reasoning,0.053574752539969246,0.05441151969349446
modernbert_professionalism,0.01399452146825436,0.06634428020424622
qurater,0.017381287893460502,0.04636723323137332
ad_en,0.2113598152791207,0.030847213692336985
dsir_books,0.0028776895910125814,0.036171879026542335
dsir_wiki,0.0028695784888059547,0.03608257560575232
dsir_math,0.00305235777496878,0.03694439751344257
rps_doc_word_count,0.1950301258772016,0.03415380798055407
rps_doc_num_sentences,0.1479185711199228,0.03529653693179187
rps_doc_unigram_entropy,0.012244290674919216,0.04273566472654763
rps_doc_frac_unique_words,0.01899582064375027,0.059926354498832386
rps_doc_frac_no_alph_words,0.010144511696187278,0.04487190626770968
rps_doc_frac_chars_top_2gram,0.004579776124435011,0.03804526963957305
rps_doc_frac_chars_top_3gram,0.0042118560164656,0.03780601466487794
rps_lines_uppercase_letter_fraction,0.011172904609403383,0.050042494380943166
rps_lines_ending_with_terminal_punctution_mark,0.031076232130206976,0.044876398975113564
rps_lines_numerical_chars_fraction,0.1093398058182083,0.04040245073968529
rps_doc_mean_word_length,0.03997456819067396,0.049262458529633506
