method,enet_best_alpha,enet_best_l1,cv_rmse,test_r2,Qp_train_mean,Qp_test_mean,Qp_test_sd,max_abs_domain_delta,domain_deltas
none,0.0031622776601683794,0.9,0.21177911397883056,0.635522356351339,0.16718677114981015,0.17929240193549753,0.30956119163054474,0.05534984273439229,"{""arxiv"": 0.05534984273439229, ""github"": -0.015505164819399373}"
iqr,0.0031622776601683794,0.9,0.2124304171353384,0.6350629707230822,0.05322455397675582,0.052483091230694515,0.07239438424505787,0.04104933297859214,"{""arxiv"": 0.04104933297859214, ""github"": -0.019280500535566836}"
z3,0.0031622776601683794,0.9,0.21225883309821766,0.6326825635136617,0.049307786206308706,0.04992665352602843,0.07863439406307894,0.046107652706559685,"{""arxiv"": 0.046107652706559685, ""github"": -0.01668212402932024}"
mad,0.0031622776601683794,0.9,0.21229595738371304,0.6330954496233769,0.046392731495628066,0.04658053720967219,0.07262538559544841,0.0532374313845079,"{""arxiv"": 0.0532374313845079, ""github"": -0.01729558049574263}"
