delta_q,equiv_param_gain_median,ci_lo,ci_hi
0.01,0.030687693563464125,0.02863952155585678,0.03312445298311553
0.02,0.0626505707814331,0.058388910998936575,0.06773588293861466
0.03,0.09595577086754825,0.08930262625876458,0.10391893955701752
0.04,0.13067472902252297,0.12143837028219635,0.14176413402604274
0.05,0.1668835010744244,0.15485731922617454,0.18136831879927232
0.060000000000000005,0.20466311649405244,0.18962436919654288,0.22283521282665675
0.06999999999999999,0.24409996260886713,0.2258084032475512,0.2662759771556503
0.08,0.2852862031547696,0.2634825805347617,0.3118098464082542
0.09,0.3283202346602716,0.30272464971274304,0.3595648223165111
0.09999999999999999,0.37330718455751744,0.34361728889078086,0.40967843626909567
0.11,0.4203594553655594,0.3862484747078746,0.462298588698656
0.12,0.4695973198003258,0.4307118833659148,0.5175844741398934
0.13,0.5211495722411894,0.4771073267710443,0.5757076019311854
0.14,0.5751542426355043,0.5255412272822535,0.6368529238402987
0.15000000000000002,0.6317593796609813,0.5761271349583605,0.701220081393742
0.16,0.6911239108042323,0.6289862916355337,0.7690247874104978
0.17,0.7534185879671141,0.684248246664148,0.8405003582206991
0.18000000000000002,0.8188270282980676,0.7420515296938324,0.9158994153312647
0.19,0.887546861183766,0.8025443865279062,0.9954957779344653
0.2,0.9597909937507171,0.8658855847834386,1.0795865707021302
0.21000000000000002,1.0357890088447932,0.9322452969027456,1.168494574839343
0.22,1.1157887113114908,1.0018060689801274,1.2625708544723462
0.23,1.200057840529298,1.0747638849100736,1.3621976952177257
0.24000000000000002,1.2888859695978832,1.1513293365486321,1.4677918973456823
0.25,1.3825866144050694,1.2317289119299162,1.579808472455419
0.26,1.4814995790545253,1.3162064151200574,1.698744800201196
0.27,1.5859935679042687,1.405024533050931,1.8251453105553928
0.28,1.6964690988329154,1.498466566690308,1.959606767626439
0.29000000000000004,1.8133617574214766,1.5968383462144016,2.1027842434755355
0.3,1.9371458376389672,1.7004703525007498,2.2553978850749723
