mixture_domain,quality_domain,permutation_importance,quality_Q
arxiv,arxiv,0.059480681700746385,0.424417031576665
github,github,0.08984423268082331,0.1711453425189247
stackexchange,stackexchange,0.23131227323090242,0.230134180230675
wikipedia_en,wikipedia,0.03082537692570253,0.2053444598042725
gutenberg_pg_19,book,0.00394876659483423,0.5604230747027613
pile_cc,commoncrawl,0.07071266210049931,0.2719756817308305
