scope,quality_domain,n_docs,conflict_rate
A1,arxiv,1419,0.5496828752642706
A1,book,171,0.45614035087719296
A1,c4,10000,0.3415
A1,commoncrawl,9640,0.3440871369294606
A1,github,10000,0.4861
A1,stackexchange,10000,0.4646
A1,wikipedia,10000,0.3366
A2,arxiv,17523,0.5366090281344519
A3,github,203752,0.47912658526051277
