lambda,tau,conflict_rate,qp_test_mean,qp_test_sd,spearman_vs_main,max_abs_delta_sigma
0.0,0.5,0.38593053338470856,-0.041356897991954494,0.04035577413099859,0.9999999999999999,0.09381808556247817
0.0,1.0,0.11810425496779875,-0.041356897991954494,0.04035577413099859,0.9999999999999999,0.09381808556247817
0.0,1.5,0.03397735821361076,-0.041356897991954494,0.04035577413099859,0.9999999999999999,0.09381808556247817
0.25,0.5,0.38593053338470856,-0.11074328609640909,0.07635132036644644,0.9999999999999999,0.018518980900051524
0.25,1.0,0.11810425496779875,-0.06796586421273494,0.057368598429680256,0.9999999999999999,0.04690904278123906
0.25,1.5,0.03397735821361076,-0.050457294578310365,0.046765312947696945,0.9999999999999999,0.07706968612768927
0.5,0.5,0.38593053338470856,-0.18012967420086373,0.11234686660189432,0.9999999999999999,0.13085604736258127
0.5,1.0,0.11810425496779875,-0.09457483043351539,0.0743814227283619,1.0,0.0
0.5,1.5,0.03397735821361076,-0.05955769116466623,0.053174851764395285,0.9999999999999999,0.06032128669290038
1.0,0.5,0.38593053338470856,-0.3189024504097729,0.18433795907278996,0.9999999999999999,0.3555301802876406
1.0,1.0,0.11810425496779875,-0.1477927628750763,0.10840707132572523,0.9999999999999999,0.09381808556247823
1.0,1.5,0.03397735821361076,-0.07775848433737796,0.06599392939779199,0.9999999999999999,0.026824487823322585
