variant,value,N,D,Q,L_total,L_classic,L_quality,L_recipe,s_train,s_attn,s_quality,regime_Q,beyond_B1,C_FLOPs,g_type
recipe,mean_zero,37701544849.92718,3416852831772.1846,1.0,1.920065629834593,1.920065629834593,0.0,0.0,0.7729237816959581,0.21105972065510964,0.016016497648932117,ceiling,True,1e+24,pow
Lctx_crit,30000,17880272301.910885,4560987452138.862,1.0,1.8830026414404637,1.9399363874452087,0.0,-0.056933746004744885,0.48931018565904955,0.48931018565904955,0.021379628681900915,ceiling,True,1e+24,pow
delta,-0.2285239529866762,21291090514.30272,6103436001997.168,1.0,1.868389039394732,1.9230959525187052,0.0,-0.05470691312397326,0.7796928502006537,0.2129081276281252,0.007399022171221099,ceiling,True,1e+24,log
delta,0.0,37184509244.52777,3505789830935.5835,1.0,1.3861331834900779,1.9196389340235576,0.0,-0.5335057505334797,0.782166446266774,0.2135835842605804,0.0042499694726455635,ceiling,True,1e+24,log
delta,-0.5,34843224431.500565,3740292672023.2207,1.0,1.9168272587255,1.9196853752824514,0.0,-0.0028581165569514467,0.7819431420648121,0.21352260732649803,0.004534250608689917,ceiling,True,1e+24,log
Q0,0.3,21403897368.007523,6041758283769.424,1.0,1.868538305503767,1.9231791947030816,0.0,-0.05464088919931456,0.7759030453686602,0.21187325825533548,0.012223696376004317,ceiling,True,1e+24,log
Q0,0.7,21210769657.60106,6148048055906.901,1.0,1.868282466344946,1.9230366523875577,0.0,-0.0547541860426118,0.7824289869462198,0.21365527536878112,0.003915737684999217,ceiling,True,1e+24,log
recipe,enet_trust_region,12006748318.086998,10761410936661.375,1.0,1.8194605124660266,1.9341299156212322,0.0,-0.11466940315520564,0.775257315984012,0.21169693108470086,0.013045752931287256,ceiling,True,1e+24,log
recipe,mean_zero,37184509244.52777,3505789830935.5835,1.0,1.9196389340235576,1.9196389340235576,0.0,0.0,0.782166446266774,0.2135835842605804,0.0042499694726455635,ceiling,True,1e+24,log
Lctx_crit,30000,17575404369.037647,4714376571653.895,1.0,1.8824759154226824,1.9396338543167402,0.0,-0.05715793889405779,0.49714244756840753,0.49714244756840753,0.005715104863185007,ceiling,True,1e+24,log
