quality_domain,metric,n_A1,n_extended,mean_A1,mean_extended,diff_A1_minus_ext,se_diff,id_overlap,id_overlap_frac_of_A1
arxiv,q_all22,1419,17523,-0.08786454083218112,-0.08951029628334406,0.001645755451162939,0.00679562707314677,1419,1.0
arxiv,q_core16,1419,17523,0.0539474527680377,0.05515453923804183,-0.001207086470004129,0.004989909778423645,1419,1.0
github,q_all22,10000,203752,0.00793013931894021,0.0043089559306660995,0.003621183388274111,0.002083177076284223,10000,1.0
github,q_core16,10000,203752,-0.010805971397066516,-0.015502034901746635,0.004696063504680119,0.002549324770047601,10000,1.0
