scope,quality_domain,n_docs,Q_equal_mean,CI_low,CI_high
A1,arxiv,1419,0.732339777758272,0.729293551758524,0.735321521860821
A1,book,171,0.5810777288878799,0.5655975677076003,0.5972565891208733
A1,c4,10000,0.523602344918116,0.5206925070025961,0.5265778275067831
A1,commoncrawl,9640,0.56614352291804,0.5637064484565819,0.5686283112885753
A1,github,10000,0.40575422356580976,0.40388782486068003,0.4076370268745974
A1,stackexchange,10000,0.5425377047100388,0.540877343887246,0.5442081325393804
A1,wikipedia,10000,0.43888199293396574,0.43633566022647413,0.44159475879106397
A2,arxiv,17523,0.731365225710769,0.7304754408971801,0.7322787533047593
A3,github,203752,0.40495612533874764,0.40453178313882143,0.4053847090206664
