protocol,reverse13_boot_ci,reverse13_jk_min,reverse13_jk_max,domain6_boot_ci
P15,"[-0.7362637362637362, -0.6428571428571429]",-0.8391608391608393,-0.6433566433566434,"[-0.6571428571428573, -0.5428571428571429]"
P18,"[-0.8351648351648352, -0.7802197802197801]",-0.9370629370629372,-0.7902097902097903,"[-0.8285714285714287, -0.8285714285714287]"
