quality_domain,Q_v4
arxiv,0.8231565425277378
book,0.5943009809750779
c4,0.4623601445212603
commoncrawl,0.5547275357191337
github,0.45923998503930435
stackexchange,0.6278267868304931
wikipedia,0.44810464266257577
