protocol,quantile,reverse13,domain6
P17,global(含长度水平/身份),-0.7362637362637362,-0.6571428571428573
P17shape,within-domain(仅形状),-0.7252747252747254,-0.6571428571428573
P18,global(含长度水平/身份),-0.8241758241758241,-0.8285714285714287
P18shape,within-domain(仅形状),-0.7802197802197801,-0.8285714285714287
