quality_domain,equal_mean,median,consistency_weighted
arxiv,0.4444730717958239,0.5355467001388395,0.4916763994765493
book,0.4196042619063275,0.5107875185032417,0.45834802030899596
c4,0.5098592313497085,0.5593627247577464,0.5342011197819087
commoncrawl,0.4621246303368347,0.5273578107372812,0.49560291673122175
github,0.3530743318882862,0.4214858492625748,0.3860627067294166
stackexchange,0.4074650654329722,0.43715616506371996,0.42589364405607755
wikipedia,0.37218343370541723,0.43915873380285547,0.40756898284257687
