est_table,n,spearman_pred_vs_est,raw_r2,level_bias,top10_overlap,spearman_1m_actual_vs_est_attribution,nature
10b,63,-0.5934619815668204,-1388.697275045827,3.5657485788469097,0.0,-0.739247311827957,"est 为 1M/60M/1B 幂律外推, 非实测(数据说明标注)"
70b,63,-0.6662346390168971,-1448.4441833016406,3.9486616435599746,0.0,-0.813892089093702,"est 为 1M/60M/1B 幂律外推, 非实测(数据说明标注)"
