domain,full_set,indicator,ks_stat,p_value,median_A1,median_full
arxiv,A2,q_v5_doc_score,0.024300288391734925,0.4136359034720676,0.8078367540213813,0.8063541363821036
arxiv,A2,fineweb_edu_ecdf,0.02747087216933497,0.26999631991313744,0.9019050965235892,0.8957564755714313
arxiv,A2,cleanliness_ecdf,0.021485383330081764,0.5719013939591977,0.8746364505865589,0.8742460619546759
github,A3,q_v5_doc_score,0.0096577015194943,0.3341556234813753,0.4868768785362907,0.4839757453769854
github,A3,fineweb_edu_ecdf,0.005416502414700208,0.9410193045628662,0.4416661786808768,0.4446233725673908
github,A3,cleanliness_ecdf,0.009829722407632802,0.31369261574703056,0.11155355156057856,0.10965040698014873
