fit_space,param,value,se,ci95_lo,ci95_hi
linear,E,1.6897975629134832,4.636535817232201e-05,1.6897066868114654,1.689888439015501
linear,A,0.35398032067109203,3.668962007425263e-05,0.3539084090157465,0.35405223232643757
linear,alpha,0.33997658189199337,2.7229063943554813e-05,0.339923212926664,0.34002995085732274
linear,B,1.2403055835525565,4.3794990413015395e-05,1.240219745371347,1.240391421733766
linear,beta,0.2798781285436939,1.4090418404183683e-05,0.2798505113236217,0.27990574576376615
log,E,1.6898377701831593,0.00011997027898399584,1.6896026284363506,1.690072911929968
log,A,0.3539687203222563,8.858901477504169e-05,0.3537950858532972,0.35414235479121536
log,alpha,0.3399854249381988,6.757202744063589e-05,0.33985298376441514,0.3401178661119824
log,B,1.2402746298913723,0.00011619407326073418,1.2400468895077812,1.2405023702749634
log,beta,0.27989246549884883,4.230049580286561e-05,0.27980955652707523,0.27997537447062243
