index,L_1m,L_10b,L_70b,gamma_10b,gamma_70b
1,5.904635429382324,1.7115076923076922,1.3061538461538462,0.13445355817050872,0.13522920466593794
2,5.133344430189866,1.7185307692307694,1.3529692307692307,0.1188107731560367,0.11952544203957537
3,5.542253035765428,1.8022153846153846,1.4120307692307692,0.12196991430437863,0.12256556722082651
4,5.290134576650766,1.8228307692307695,1.4423230769230766,0.1156800923603916,0.11648973114690887
5,4.9657532618596,1.9229615384615384,1.5518307692307696,0.10300363465851546,0.10425811277703959
6,5.358781594496507,1.654623076923077,1.2822384615384617,0.12759174498600545,0.1281908543955403
7,5.058426526876596,1.9834153846153848,1.5931923076923076,0.10165044218051829,0.10355770745673089
8,5.898907331319956,1.7380230769230767,1.3274461538461537,0.13267900877808717,0.13369278698344356
9,6.21538573044997,1.6371,1.2251307692307694,0.1448482194697839,0.14556684575309153
10,5.393702800457294,1.8495230769230768,1.455723076923077,0.11620681453709596,0.11739870714571041
11,6.063049664864173,1.7043076923076923,1.2944384615384616,0.13778578039037143,0.13840993754439992
12,5.737708825331468,1.6439384615384611,1.248923076923077,0.13571323719156933,0.1366748018885617
13,5.631498850308931,1.8157230769230768,1.4180692307692306,0.12289359662818088,0.12361495289180259
14,4.817876852475679,1.9477384615384614,1.583992307692308,0.09833126368715216,0.09970956682612375
15,4.961122586176946,1.8105615384615386,1.4487384615384618,0.10944166696024328,0.11033625405343188
16,4.79795071711907,1.9567230769230766,1.5975076923076925,0.0973816039434834,0.09857650366230346
17,5.027804338015043,1.8411999999999997,1.4732923076923077,0.10906935053024504,0.11002655521268266
18,4.846522661355825,1.9124230769230768,1.5563461538461536,0.1009615680322475,0.10181920921288054
19,4.862268686294556,1.8993846153846157,1.5334846153846156,0.10205650951412587,0.10343640657119642
20,5.18797335257897,1.8048076923076921,1.4248692307692308,0.11464170084804223,0.11583310055822467
21,5.312407071773823,1.7212615384615384,1.3425153846153846,0.12236112039683211,0.1232941150004664
22,5.267660049291758,1.8810307692307693,1.4958846153846155,0.11180546004249942,0.11283974847424784
23,5.236186431004451,1.8310153846153847,1.453323076923077,0.11408077689151264,0.11488992104546185
24,6.004401573768029,1.7026692307692306,1.2946076923076921,0.13683486055591615,0.13752694814992167
25,5.220030491168682,1.7796076923076924,1.406853846153846,0.1168371913744725,0.11752580709014503
26,5.404111513724694,1.9114461538461542,1.5043230769230769,0.11284055845263422,0.11462785266749458
27,4.946193236571092,1.8610769230769233,1.494876923076923,0.10612668881339567,0.10725596001899472
28,5.129373101087717,1.7525384615384614,1.3880461538461537,0.11659918303459292,0.11716179491953158
29,6.132923419658955,1.6738307692307695,1.2588999999999997,0.14098899869169357,0.1419323824959803
30,5.525556601010836,1.766946153846154,1.376053846153846,0.12378817925070189,0.12460854216643907
31,5.268221598405105,1.8201692307692303,1.435346153846154,0.1153880664955674,0.11655231327295845
32,6.351518722680899,1.598,1.1902923076923075,0.14982520190990864,0.15009478645193347
33,5.77667471078726,1.7194153846153846,1.3266692307692307,0.1315742761127264,0.13186838547928664
34,5.556892028221717,1.8206615384615383,1.4226461538461537,0.12115068514945929,0.12213066886368114
35,5.203048513485835,1.7829076923076923,1.4142,0.11628225414115413,0.11676689258260274
36,5.13854692532466,1.986723076923077,1.6167,0.10317574762034593,0.10365340069600358
37,4.969163656234741,1.911807692307692,1.543053846153846,0.10370977387514337,0.10482805809120396
38,5.545954630925105,1.856107692307692,1.456723076923077,0.11884328547001936,0.11983231452806378
39,4.993031996947068,1.8007307692307692,1.4358076923076928,0.11072889092598184,0.11171457604481333
40,5.374926933875451,1.782646153846154,1.4061538461538463,0.11982685459640047,0.12019152573989497
41,5.1798697618337775,1.796930769230769,1.4296692307692307,0.114946873772677,0.11539152878142342
42,5.084016616527851,1.8521923076923075,1.4742769230769235,0.10963022127940057,0.11096326417496148
43,5.076522203592154,1.914153846153846,1.5365076923076926,0.10589736241727703,0.10712508744195615
44,5.084354584033672,1.7903,1.421792307692308,0.1133275047668321,0.11421846697898984
