group,contrast_between_domain,conflict_sum,critic_weight,conflict_only_weight,equal_weight
edu,0.15179786511565824,2.1712719870411377,0.1968394862137933,0.19445938209033226,0.2
read,0.165955017149808,1.8896728711313018,0.18728773805460372,0.16923933116910558,0.2
reason,0.22926989153885796,2.5366354115632754,0.3473260891503498,0.22718137463434446,0.2
clean,0.11430935445128203,1.9557584405815307,0.13351477098640044,0.17515796277172285,0.2
struct,0.0865512889371421,2.6123451651592084,0.13503191559485272,0.23396194933449488,0.2
