dataset,n,frac_above_frontier,eff_ratio_median,eff_ratio_q25,eff_ratio_q75
B4,57,0.8245614035087719,1.0519064028085743,1.0206426411597078,1.0972072007433882
B5,44,0.5,0.9967512787798707,0.9031154138776724,1.0399340075449819
