domain,id,group_std,weighted_divergence,deltaQ,conflict_strength
arxiv,BkiUdvE4eIfiUWiFdbiw,0.16140502960837103,0.9994753514834778,0.01027199431472725,-1.2320915195069062
arxiv,BkiUdb44dbjiU9oEeWKt,0.21436369433634503,1.1675994233603872,0.003989254527445696,-0.4616146058711481
arxiv,BkiUd0E5qhDBdMC-Fcd6,0.23649079806972378,1.4177388795162031,0.02942002582469183,0.8115867316864154
arxiv,BkiUdPA4dbgg3Wyis_JT,0.247599968713177,1.4490498820905209,0.033976133138163944,1.086649622797529
arxiv,BkiUdILxK7FjYAb_67PT,0.21505122842549299,1.2299267885182092,0.027750033292546106,0.16579520940312148
arxiv,BkiUfYzxK6-gD5TlfjZo,0.20095008834746245,0.8568095012059388,0.024371152129876172,-0.8202603558303091
arxiv,BkiUdZY5qrqCyq8KqH5a,0.18460392353765476,1.0745283388950981,0.001872147904716459,-1.0085876085971115
arxiv,BkiUcQrxK02iP15vfcUN,0.24503712388581478,1.4787750100253638,0.020654848607580045,0.8453139788227677
arxiv,BkiUd-7xK7IAD7XMJnpB,0.20190106094638152,1.1370771490591651,0.010854960288747773,-0.5127927632128644
arxiv,BkiUdC84eIZjfagW4Wnr,0.19434162048576428,0.8488023565147281,0.003284111243078147,-1.3424013109293855
arxiv,BkiUbCM5jDKDx8o5qk9R,0.26401261119662295,1.5330340583595659,0.036691655496079334,1.4876113239892927
arxiv,BkiUdafxaL3SuhsxKGrm,0.26584945256682707,1.589622513204836,0.03411917342647164,1.570145819435019
arxiv,BkiUbg05ixsDMJPI2xCB,0.2022553347932521,1.129594970215756,0.016273314948778705,-0.41234032869695375
arxiv,BkiUdEU5qsBC4wbX-bkK,0.20868019253634595,0.9583086237562708,0.015375847324835101,-0.7164933444161238
arxiv,BkiUbhg25V5hd-428xX-,0.21788456801609155,1.2234774422591903,0.0002040853158818967,-0.3880215124549154
arxiv,BkiUdGM4dbgg4JMhnNMO,0.17828557990343744,0.8204140965399739,0.019790989272447934,-1.2272234657300438
arxiv,BkiUbfvxK6Ot9TMSpOC0,0.23448104926068317,1.3565538706809999,0.02220535796055123,0.5151868537015164
arxiv,BkiUbQY5qX_AY1OJK5_l,0.24959056388369974,1.5057506932544902,0.011958716266257996,0.7685265332626123
arxiv,BkiUd044eIXh4qTE56WZ,0.22721044959836154,1.2924533616838068,0.0023918936183823236,-0.10306172508560113
arxiv,BkiUe5rxK03BfHDu5U-k,0.22086266143275038,1.3152665652802717,0.024271924295790392,0.33040053698691085
arxiv,BkiUdMg4eIXhx5LdSlN-,0.24598763347866381,1.4537857347528984,0.024361563867942082,0.8805153708902795
arxiv,BkiUdmU5qhLAB-QFvl37,0.24222346918048804,1.3717974113352909,0.005933274605604555,0.2907896533863727
arxiv,BkiUc5XxK3YB9raXz91v,0.20427227207627371,0.9864039547660173,0.01003543520884298,-0.8152960944620548
arxiv,BkiUbtg4uzlgqIdPjLwn,0.2328916835345592,1.08704920584897,0.03827559592083973,0.2760749620168299
arxiv,BkiUb4bxaL3SuhzLnCaY,0.2568688464271641,1.5421253351109856,0.016083413245971623,1.0049983282650825
arxiv,BkiUc_w25V5ih3AxzUJY,0.3082480721206529,1.3842990411686285,0.016307389460920696,1.2222420309876902
arxiv,BkiUdKg4uBhhxJVAbSlB,0.24818707210129404,1.504160900791982,0.03029122333866685,1.130035528378516
arxiv,BkiUfS45qhLBlnv5FwQt,0.1688368955550007,0.882151051824124,0.015202686301301727,-1.2939162257722345
arxiv,BkiUdjg5qoTA-AMJsvsi,0.2095328279818744,0.7636458450293876,0.026856599060977704,-0.8708901106574222
arxiv,BkiUeAY5qsMAI5yh7a-M,0.18358971559277262,0.990543934502905,0.005786060331125831,-1.1111761392013908
arxiv,BkiUdHjxaJJQnMJkXr4l,0.20106116317372646,0.9629864602120243,0.008475062364359909,-0.9294349961681442
arxiv,BkiUcNbxK6Ot9Pm3uYdF,0.23085425027155046,1.3857374609844921,0.01800949979722455,0.4504918756906205
arxiv,BkiUdozxK6Ot9UjEBvcU,0.2042089627069746,0.8313709389701343,0.024079672375966532,-0.8445869441841677
arxiv,BkiUfd425V5jLX3kjIIW,0.20449054535361003,0.9630987277328801,0.012678830891080684,-0.8062990094295106
arxiv,BkiUc__xK7ICUyBu0Ytk,0.273565591080784,1.610256471503916,0.034656926309826974,1.7045298821435475
arxiv,BkiUdODxK3YB9ohkMhwr,0.22233865107711184,1.2356589258570583,0.019828274500977683,0.0898914036383555
arxiv,BkiUbdvxK7Ehm308o-UQ,0.21967119367829332,1.1792725075874249,0.015765221687631614,-0.13827099824894912
arxiv,BkiUc3U5qoYAq3Pz8uon,0.24508568841618017,1.4844038469999676,0.029638141750584324,1.0433650301004207
arxiv,BkiUbGE5qdmB6uAdshyW,0.16193591887388042,0.7204452607891972,0.00313273525795843,-1.9490569712812422
arxiv,BkiUfo8241xiP6pGxj80,0.23503336443918926,1.367122565376916,0.016347142928346603,0.4214748336961397
arxiv,BkiUfK3xK4tBVhat52yo,0.22807759812455222,1.3676399271691495,0.025744898176620512,0.5442743660753419
arxiv,BkiUdf_xK7FjYEXSFEcl,0.2074652119527841,1.0758662772798162,0.010340117322810816,-0.5913009462265642
arxiv,BkiUelHxK7IDF1DduRfs,0.2109702810389554,1.195804163759387,0.024399257252162077,-0.01655731339555179
arxiv,BkiUaYzxK7ICUn2IXhit,0.22596000425161242,1.2792020580523025,0.025048399480515515,0.32553277928454727
arxiv,BkiUdJQ4ubng-JcX4VCP,0.21513289504316316,1.2952040852602138,0.014407942591858847,0.024934327275927176
arxiv,BkiUbbnxK0-nUh8iIHaL,0.21389832921130353,1.147529585009862,0.01576741797152048,-0.2640237234311211
arxiv,BkiUctrxK7FjYHGHzffr,0.3104216120084599,1.4196972962046523,0.01610743503784462,1.3137626705828203
arxiv,BkiUawDxK6EuNAra_58K,0.16521021003447076,0.7098508219845786,0.012586568913297347,-1.7409245153145743
arxiv,BkiUairxK0wg09lJ_0zB,0.2021372509772002,1.2137930566291038,0.0024046988367795175,-0.5272175641206178
arxiv,BkiUdpY4eIOjSBZeeNPE,0.18869119288854108,1.027750633470244,0.013917194608050298,-0.8128405247634682
arxiv,BkiUd-k241xg-MOC_zQI,0.1935990729030332,1.1586930382168321,0.013681589478614642,-0.49664149513966704
