quality_domain,Q_v3,Q_v3_noHuber,n_docs,Q_full_A2A3,abs_diff_sample_vs_full
arxiv,0.7943358541010387,0.7943358541010387,1419,0.7930145328145416,0.0013213212864970902
book,0.5835404409807426,0.5835404409807426,171,,
c4,0.4772599326609077,0.4772759584894368,10000,,
commoncrawl,0.547924232026867,0.547924232026867,9640,,
github,0.43359668934453993,0.43359626633999987,10000,0.43273077273040955,0.0008659166141303798
stackexchange,0.5830770481300495,0.5830770481300495,10000,,
wikipedia,0.42268373286460137,0.42268373286460137,10000,,
