domain,Q_star_v5
arxiv,0.7968159862982731
github,0.48150125753552764
stackexchange,0.6269035644653221
wikipedia_en,0.46073891571058223
gutenberg_pg_19,0.5805302743130676
pile_cc,0.569932990405643
freelaw,0.6262824338572681
nih_exporter,0.5267300678700484
pubmed_central,0.6923329977138181
dm_mathematics,0.6354821046814269
philpapers,0.6886731303056703
enron_emails,0.5576461140595282
ubuntu_irc,0.5542024110004249
europarl,0.5698813053389903
hackernews,0.5955697487324987
pubmed_abstracts,0.6199070526049589
uspto_backgrounds,0.6633355097395512
