protocol,n_indicators,reverse13,domain6,loss_slope,loss_r2,loss_slope_p,conflict_rate
P15,15,-0.6978021978021978,-0.5428571428571429,-1.3421900454506093,0.38289952278794775,0.1902838275547202,0.007476088229552996
P16,16,-0.7582417582417583,-0.8285714285714287,-1.5635365843966658,0.48021412805019775,0.12692589502365156,0.009506148740972086
P17,17,-0.7362637362637362,-0.6571428571428573,-1.3804097367248542,0.3886863686418048,0.18599195865505475,0.008373999609603748
P18,18,-0.8241758241758241,-0.8285714285714287,-1.6097795116315465,0.49025048895099016,0.12136317677600039,0.00851063829787234
