variant,n_recipe,recipe_spearman,recipe_pearson,domain6_spearman,reverse13_spearman,increment_r2
v1_equal15,507,0.04245155867209083,0.051951572712883295,-0.3714285714285715,-0.47802197802197804,6.541686159433624e-07
v3_critic15_hub,507,-0.0004388490020169032,0.04630393891060735,-0.7142857142857143,-0.7307692307692307,7.566103221723353e-08
v4_comb18_hub,507,-0.015099458353900167,0.03529591337338868,-0.8285714285714287,-0.8241758241758241,-0.0005661617732697355
v4_comb18_lin,507,-0.015104242296391108,0.03530251366652605,-0.8285714285714287,-0.8241758241758241,
interval_only3,507,0.023074720795326298,-0.08725192149653146,0.14285714285714288,0.32967032967032966,0.0005385051922583983
v4_comb18_narrow,507,-0.018888551547110916,0.03303134331576662,-0.8285714285714287,-0.8241758241758241,
