law,C,form,L_seq,L_joint,gain_pct,Q_joint,N_star_B,D_star_B
ref_intN_校准,1e+19,exp,3.314726272267711,3.2470824868690458,2.0407050188306446,0.7148964033017361,0.29408614969120234,3.810377640429234
ref_intN_校准,1e+19,power,3.314726272267711,3.2870521876732774,0.8348829532611965,0.5968640579094378,0.29819798348684856,3.936960974259192
ref_intN_校准,1e+19,log,3.314726272267711,3.20568687652732,3.289544498822023,0.9999999999999999,0.3333419182858381,2.597375658971987
ref_intN_校准,1e+22,exp,2.2951325203403665,2.1459725553139357,6.498969610883753,0.9999999999999998,5.840797175494272,228.5525160719362
ref_intN_校准,1e+22,power,2.2951325203403665,2.1476603572450625,6.425431289406938,1.0,5.973785544384782,219.25767148078978
ref_intN_校准,1e+22,log,2.2951325203403665,2.141558646928698,6.691285668720062,1.0,5.487387219406366,256.4332325170559
ref_intN_校准,1e+24,exp,1.9973827699284759,1.8908328796393374,5.3344752890280445,1.0,50.29646232305949,2882.6278240964493
ref_intN_校准,1e+24,power,1.9973827699284759,1.89093571085581,5.32932699106429,1.0,50.45665858359395,2865.772548083593
ref_intN_校准,1e+24,log,1.9973827699284759,1.8905764046083067,5.347315843922786,1.0,49.895770293846205,2925.4637060041773
v9_ens3,1e+19,exp,3.333854090074981,3.2769591285292017,1.706582232112612,0.6586726504364327,0.19793244633902515,5.6820723474558
v9_ens3,1e+19,power,3.333854090074981,3.3186132255795413,0.45715451497449366,0.5194801656440918,0.19325711822558927,6.435088948878017
v9_ens3,1e+19,log,3.333854090074981,3.145546204407785,5.648354144465897,1.0,0.3903125945429821,2.3578756078898495
v9_ens3,1e+22,exp,2.294762154868857,2.1512612299445117,6.253411693228225,1.0,5.913517033179291,225.99119691259637
v9_ens3,1e+22,power,2.294762154868857,2.152926768180135,6.180831699171351,1.0,6.060537800616272,216.45012580175018
v9_ens3,1e+22,log,2.294762154868857,2.1468829498645987,6.444206197600868,1.0,5.521594271116912,254.90845278930286
v9_ens3,1e+24,exp,1.992965913929483,1.8900277938635757,5.16507178303651,1.0,43.579591305912416,3321.1336447976123
v9_ens3,1e+24,power,1.992965913929483,1.8901525455398407,5.158812183943866,1.0,43.75905115406689,3297.351320758617
v9_ens3,1e+24,log,1.992965913929483,1.8897159781144997,5.180717597493075,1.0,43.1296639015839,3381.9577831033694
v9_twoQ,1e+19,exp,3.342504563697905,3.3024625864640447,1.1979632778589522,0.6012801647128448,0.15152754426307255,7.740722096439992
v9_twoQ,1e+19,power,3.342504563697905,3.3362713463640103,0.18648343525367797,0.46737655244099174,0.1510840546543635,8.765360477000318
v9_twoQ,1e+19,log,3.342504563697905,3.188192833976139,4.616649784048362,1.0,0.13108620403411325,4.025504184496222
v9_twoQ,1e+22,exp,2.29536438948046,2.155307463828411,6.101729481119558,1.0,5.724817040068376,232.75989191566148
v9_twoQ,1e+22,power,2.29536438948046,2.1570460741969044,6.025985064395943,1.0,5.890417564223007,222.0252856068918
v9_twoQ,1e+22,log,2.29536438948046,2.150689682952966,6.302908034581828,1.0,5.280206754160539,266.07279446343773
v9_twoQ,1e+24,exp,1.986185837000559,1.8809097012556621,5.300417200833517,1.0,33.68626485128604,4280.1360435111455
v9_twoQ,1e+24,power,1.986185837000559,1.8810847037985758,5.291606215494,1.0,33.888798536990045,4237.889790541774
v9_twoQ,1e+24,log,1.986185837000559,1.8804703617763485,5.322536957763066,1.0,33.176144392696635,4389.590587776471
v9_b8twoQ,1e+22,exp,1.2357807515097505,0.25193779445869646,79.61306694970733,0.9999999999999996,0.9246110338708925,625.5303045926889
v9_b8twoQ,1e+22,power,1.2357807515097505,0.2531203659825446,79.51737266717352,1.0,0.5189512971820648,790.4985399141216
v9_b8twoQ,1e+22,log,1.2357807515097505,0.25370740024767036,79.469869559166,1.0,0.43750150397554705,2077.516397261265
v9_b8twoQ,1e+24,exp,1.0350872511359017,0.2500505307587788,75.84256491572337,1.0,64.60972255855626,1783.598208004373
v9_b8twoQ,1e+24,power,1.0350872511359017,0.2503335294521524,75.81522435162474,0.9999999999999999,36.867302904758155,827.1866963099787
v9_b8twoQ,1e+24,log,1.0350872511359017,0.2501396248244197,75.83395751904807,1.0,3.17345720291004,8621.572850933559
