quality_domain,weighting,A1_Q,extended_Q,rel_diff,n_A1,n_extended
arxiv,entropy,0.42441703157666505,0.4313274842092339,0.016282222715938686,1419,17523
arxiv,critic,0.6491618638916584,0.6488648184509497,-0.0004575830116205322,1419,17523
github,entropy,0.17114534251892477,0.17072223742689938,-0.0024721975240349207,10000,203752
github,critic,0.48786746189897,0.48714460968533524,-0.0014816569459687892,10000,203752
