year,Training compute (FLOP),logC
2018,4.7808e+20,20.679500575799285
2019,3.3e+22,22.518513939877888
2020,3.14e+23,23.496929648073216
2021,2.047e+24,24.311117842662505
2022,2.7415e+24,24.4379882502195
2023,5.0000000001e+25,25.698970004344705
2024,3.8e+25,25.57978359661681
2025,5.0000000000001e+26,26.698970004336026
