classifier,eta2_between_domain,highest_domain,highest_mean,lowest_domain,lowest_mean
modernbert_professionalism,0.6036506596577828,arxiv,0.9792310565463903,c4,0.24533283753977084
modernbert_reasoning,0.3765069316042683,arxiv,0.98178019251992,github,0.3409739708379692
modernbert_cleanliness,0.3742833255775213,arxiv,0.8647830442689841,github,0.16275140247116004
modernbert_readability,0.3042844269204637,arxiv,0.8069500910143362,github,0.25666362749116745
fluency_en,0.2540516249222979,arxiv,0.7523728111292508,github,0.27741164724483225
ad_en,0.17890702590465266,c4,0.6622961078253401,arxiv,0.3106344009224396
fineweb_edu,0.12349877371755812,arxiv,0.8394407970343779,c4,0.39530948058792525
