quality_domain,Q_v5
arxiv,0.7968159862982731
book,0.5805302743130676
c4,0.501198132115684
commoncrawl,0.569932990405643
github,0.48150125753552764
stackexchange,0.6269035644653221
wikipedia,0.46073891571058223
